Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
04/11/2002,9.73,2.07,27.2,0.03,22.1,33.825,3.01
04/12/2002,9.35,2.18,30.5,0.02,23.4,33.927,2.89
04/12/2002,8.89,2.28,33.9,0.03,24.5,34.035,2.83
07/02/2002,8.87,2.28,34,0.03,24.5,34.039,2.83
07/03/2002,8.4,2.69,43.8,0.01,25.4,34.112,2.01
07/04/2002,17.07,0.4,2,0.01,0,33.453,5.71
07/05/2002,17.05,0.51,2,0.03,0,33.451,5.58
07/06/2002,16.82,0.52,2,0.02,0,33.434,5.67
07/07/2002,13.8,0.58,3,0.04,0.7,33.412,6.39
07/08/2002,11.27,1.15,10.5,0.06,10.6,33.447,5.29
07/09/2002,9.99,1.6,17.7,0.04,17.5,33.485,4.27
07/09/2002,9.47,1.92,24.1,0.03,21.6,33.527,3.56
07/10/2002,9.2,2.18,30.1,0.02,24.5,33.572,3.03
07/10/2002,8.32,2.43,39.3,0.02,27.4,33.672,2.7
07/11/2002,17.01,0.56,2,0,0,33.425,5.69
07/11/2002,16.92,0.52,2,0.01,0,33.402,5.68
07/12/2002,13.55,0.61,3,0.04,0.4,33.366,6.35
07/12/2002,13.46,0.62,3.1,0.05,0.6,33.367,6.33
07/13/2002,11.9,0.98,8,0.22,7.4,33.404,5.38
07/14/2002,10.73,1.42,14.4,0.11,14.6,33.444,4.48
07/15/2002,9.74,1.81,22.3,0.03,20.5,33.487,3.84
07/16/2002,9.07,2.1,29.9,0.02,24.8,33.533,3.33
07/17/2002,8.52,2.37,37.7,0.01,27.3,33.636,2.66
11/10/2002,16.76,0.49,2,0,0,33.451,6.14
11/11/2002,16.65,0.51,2,0,0,33.449,5.86
11/12/2002,16.63,0.51,2,0,0,33.447,5.87
11/13/2002,16.36,0.51,2,0,0,33.428,5.91
11/14/2002,16.02,0.51,1.9,0,0,33.406,5.96
11/15/2002,15.22,0.51,1,0,0,33.359,5.92
11/16/2002,15.13,0.52,1.1,0.01,0.1,33.359,5.92
11/17/2002,12.6,0.83,5.8,0.26,5.1,33.365,5.58
11/18/2002,10.66,1.38,14.1,0.11,14,33.384,4.62
11/19/2002,9.65,1.8,21.6,0.02,20.4,33.413,3.86
11/20/2002,9.16,2.03,27.4,0.01,23.5,33.452,3.46
11/21/2002,8.32,2.2,36.5,0,26.7,33.556,2.98
11/22/2002,16.98,0.49,2,0,0,33.276,5.67
11/23/2002,16.74,0.49,2,0.02,0,33.261,5.55
11/24/2002,16.73,0.49,2,0.02,0,33.257,5.55
11/25/2002,16.53,0.49,2,0.01,0,33.22,5.62
01/30/2003,16.12,0.49,2,0.01,0,33.183,5.8
01/31/2003,14.38,0.49,2,0.02,0,33.115,6.18
02/01/2003,14.32,0.49,2,0.02,0,33.122,6.17
02/02/2003,13.22,0.51,2,0,0,33.284,5.96
02/03/2003,12.97,0.6,3.2,0.12,1.7,33.432,5.68
02/04/2003,11.93,0.83,6.9,0.12,6.2,33.567,5.25
02/05/2003,10.38,1.16,12.5,0.03,12,33.689,4.72
02/06/2003,9.26,1.81,25.7,0.02,21.4,33.893,3.56
02/07/2003,17.89,0.42,2,0,0,33.58,5.63
02/08/2003,17.73,0.47,2,0,0,33.58,5.72
02/09/2003,17.6,0.47,2,0,0,33.582,5.76
02/10/2003,16.16,0.48,2,0,0,33.603,6.05
02/11/2003,14.45,0.5,2.2,0.01,0.2,33.627,6.19
02/12/2003,12.42,0.85,7.2,0.16,5.7,33.685,5.4
02/13/2003,10.46,1.25,13.2,0.05,13.4,33.778,4.58
02/14/2003,10.06,1.83,23.1,0.05,21.1,33.897,3.4
02/15/2003,10.16,2.25,31,0.14,25.6,34.045,2.24
04/03/2003,10.49,2.5,35.6,0.23,27.3,34.226,1.37
04/04/2003,10.54,2.52,36,0.24,27.4,34.25,1.28
04/05/2003,10.65,2.95,38.8,0.04,28.7,34.267,0.83
04/06/2003,18.96,0.47,1,0,0,33.63,5.48
04/07/2003,18.53,0.49,1,0,0,33.62,5.49
04/08/2003,18.46,0.49,1,0,0,33.619,5.5
04/09/2003,17.72,0.48,1.5,0,0,33.607,5.62
04/10/2003,16.84,0.47,2,0,0,33.601,5.78
04/11/2003,14.99,0.5,2.1,0.01,0.1,33.607,6.04
04/11/2003,12.62,0.85,6.9,0.15,5.2,33.646,5.48
04/12/2003,11.14,1.32,14.2,0.08,12.8,33.719,4.39
04/13/2003,10.15,1.75,21.8,0.02,19.6,33.822,3.52
04/13/2003,9.41,2.07,28.3,0,24.2,33.952,3.04
04/14/2003,9.34,2.1,29,0,24.6,33.97,3
04/15/2003,8.79,2.38,35.6,0,26.6,34.069,2.69
04/16/2003,18.01,0.49,2,0,0,33.44,5.79
04/16/2003,17.8,0.49,1,0,0,33.46,5.92
04/17/2003,17.78,0.49,1,0,0,33.455,5.93
04/18/2003,17.59,0.49,1,0,0,33.393,6
04/19/2003,17.25,0.49,1,0,0,33.32,6.08
04/19/2003,13.9,0.47,2,0,0,33.17,6.42
04/20/2003,13.82,0.48,2,0,0.1,33.173,6.42
04/21/2003,12.79,0.69,3.7,0.08,2.6,33.253,6.05
04/22/2003,11.67,0.93,6.5,0.06,6.7,33.334,5.48
04/22/2003,10.74,1.48,15.3,0.02,14.2,33.417,4.3
04/23/2003,10.24,2.16,26.6,0.01,22.3,33.502,2.93
04/24/2003,10.15,2.61,35.5,0,26.8,33.677,1.9
07/17/2003,17.9,0.47,2,0,0,33.49,5.7
07/18/2003,17.9,0.47,2,0,0,33.49,5.69
07/19/2003,17.6,0.48,2,0,0,33.455,5.73
07/20/2003,14.84,0.44,2,0,0,33.35,6.42
07/21/2003,13.3,0.56,2.9,0.04,0.8,33.589,6.19
07/22/2003,11.55,1.17,12.2,0.04,10.8,33.803,5
07/23/2003,10.88,1.81,24.1,0.02,20.9,33.993,3.42
07/24/2003,10.75,2.34,33.1,0.02,26.2,34.159,2.12
07/25/2003,18.99,0.47,2,0,0,33.66,5.54
07/26/2003,18.72,0.47,2,0,0,33.65,5.57
07/27/2003,18.69,0.47,2,0,0,33.646,5.58
07/28/2003,18.16,0.45,2,0,0,33.608,5.68
07/29/2003,17.13,0.45,2,0,0,33.579,5.81
07/30/2003,13.58,0.65,3,0.04,0.6,33.58,6.04
10/20/2003,13.46,0.67,3.3,0.04,1,33.582,5.99
10/21/2003,11.51,1.25,12.7,0.07,12.6,33.625,4.44
10/22/2003,10.83,1.83,20.9,0.04,20.1,33.671,3.34
10/23/2003,10.53,2.17,26.5,0.02,24,33.719,2.66
10/24/2003,10.28,2.34,30.7,0.01,26.2,33.769,2.19
10/25/2003,9.6,2.65,38.7,0,29.2,33.876,1.68
10/26/2003,18.78,0.47,2,0,0,33.469,5.51
10/27/2003,18.22,0.47,1,0,0,33.468,5.62
10/28/2003,18.01,0.47,1.4,0,0,33.452,5.62
10/29/2003,15.94,0.47,1,0,0,33.402,5.83
10/30/2003,14.77,0.47,1,0,0,33.42,5.92
10/31/2003,13.28,0.62,3.6,0.11,1.7,33.455,5.73
10/31/2003,11.89,0.94,8.5,0.11,7.4,33.502,5.13
11/01/2003,19.31,0.4,5,0,0,33.666,5.69
11/02/2003,16.62,0.54,8,0.07,0.7,33.748,6.42
11/03/2003,16.43,0.55,8.1,0.08,0.8,33.748,6.36
01/06/2004,14.87,0.76,9.1,0.15,3.2,33.749,5.71
01/07/2004,13.83,1.08,10.7,0.25,7.5,33.757,4.98
01/08/2004,11.84,1.97,23.2,0.77,18,33.793,2.91
01/09/2004,11.3,2.29,27.4,0.87,21.3,33.875,2.44
01/10/2004,11.15,2.45,29,0.89,22.6,33.91,2.14
01/11/2004,10.93,2.39,30.8,0.25,24.8,33.97,2.14
01/12/2004,10.79,2.54,33.7,0.11,26.2,34.059,1.85
01/13/2004,10.71,2.52,34.1,0.05,26.7,34.148,1.79
01/14/2004,10.46,2.61,36,0.05,27.9,34.248,1.57
01/15/2004,10.28,2.61,38.6,0.04,28.2,34.287,1.43
01/16/2004,10.26,2.61,39,0.04,28.2,34.292,1.41
01/17/2004,19.6,0.42,6,0.04,0,33.501,5.66
01/18/2004,19.61,0.42,6,0,0,33.704,5.65
01/19/2004,10.92,2.21,27,0.02,24.9,33.887,2.01
01/20/2004,10.82,2.66,36,0.02,27.2,34.09,1.28
03/23/2004,19.07,0.51,4,0,0,33.6,5.57
03/24/2004,18.98,0.49,4,0,0,33.59,5.63
03/25/2004,18.85,0.49,3.9,0,0,33.585,5.65
03/26/2004,17.38,0.46,2.9,0,0,33.534,5.85
03/27/2004,15.76,0.44,2,0,0,33.485,6.02
03/28/2004,14.67,0.49,2,0,0,33.42,5.96
03/29/2004,14.55,0.51,2.2,0,0.3,33.422,5.92
03/30/2004,11.72,1.12,10.7,0.02,10.9,33.473,4.62
03/31/2004,11.26,1.7,20.3,0.06,19.1,33.526,3.23
04/01/2004,10.89,2.09,26.8,0.05,23.2,33.582,2.54
04/02/2004,10.43,2.32,30.8,0.01,25.1,33.64,2.33
04/03/2004,10.2,2.59,36.6,0.09,27.7,33.765,1.63
04/04/2004,19.81,0.44,2,0,0,33.63,5.47
04/05/2004,19.81,0.44,2,0,0,33.63,5.39
04/06/2004,19.09,0.44,2.5,0,0,33.577,5.46
04/07/2004,15.1,0.47,2,0,0,33.45,6.12
04/08/2004,12.88,0.95,7.6,0.07,7.1,33.492,4.99
07/27/2004,11.25,1.55,17.4,0.04,16.4,33.537,3.77
07/26/2004,10.3,2.01,24.5,0.01,21.9,33.586,3.14
07/24/2004,9.86,2.28,28.5,0.01,23.9,33.638,2.89
07/25/2004,9.4,2.46,37.3,0.01,27.5,33.752,2.09
07/23/2004,19.09,0.42,2,0,0,33.56,5.65
07/22/2004,19.09,0.42,2,0,0,33.56,5.64
07/28/2004,18.72,0.42,1.5,0,0,33.542,5.69
07/19/2004,18.08,0.42,1,0,0,33.524,5.79
07/20/2004,16.44,0.42,1,0,0,33.5,6.09
07/21/2004,16.35,0.42,1,0,0,33.509,6.09
07/18/2004,14.18,0.5,2.7,0,0,33.717,5.99
07/17/2004,11.87,0.94,8.8,0.02,4.3,33.901,5.13
07/17/2004,10.6,1.44,17,0.02,9.1,34.063,4.18
07/16/2004,19.61,0.44,2,0,0,33.52,5.42
07/13/2004,19.61,0.49,1,0,0,33.52,5.77
07/14/2004,18.32,0.46,1,0,0,33.508,5.94
07/15/2004,15.93,0.44,1,0,0,33.52,6.05
11/18/2004,15.81,0.44,1.1,0,0,33.522,6.04
11/17/2004,12.85,0.79,6,0.08,4.7,33.56,5.3
11/15/2004,11.37,1.71,20.1,0.05,18.4,33.602,3.34
11/16/2004,11.16,2.37,30,0.03,24.9,33.647,1.99
11/14/2004,11.1,2.62,33.9,0.02,27.8,33.696,1.49
11/13/2004,10.82,2.79,37.8,0.02,28.8,33.803,1.17
11/12/2004,19.59,0.44,2,0,0,33.564,5.41
11/10/2004,19.55,0.44,1,0,0,33.564,5.44
11/11/2004,19.51,0.44,1,0,0,33.559,5.45
11/09/2004,18.96,0.46,1.4,0,0,33.511,5.54
11/08/2004,18.1,0.47,2,0,0,33.469,5.69
11/07/2004,16.04,0.4,1,0,0,33.407,6.02
11/06/2004,14.54,0.48,1.9,0,0,33.38,5.87
11/02/2004,12.37,0.77,6,0.04,5.7,33.428,5.24
11/03/2004,11.67,0.91,8,0.05,8.3,33.463,4.96
11/04/2004,10.9,1.3,13.8,0.04,13.8,33.603,4.28
11/05/2004,10.29,1.84,22.6,0.02,20.9,33.8,3.33
01/19/2005,9.7,2.32,33.4,0.03,26.8,34.143,2.24
01/18/2005,9.68,2.35,34,0.03,27.1,34.161,2.2
01/17/2005,20.49,0.63,11,0.01,0,34.037,6.29
01/16/2005,19.4,0.49,10,0.01,0,34.012,6.12
01/15/2005,14.15,1.54,16,0.66,13.2,33.873,3.76
01/14/2005,13.24,1.86,18,0.03,18.7,33.931,2.5
01/13/2005,13.04,2.68,32,0.07,25.1,34.205,0.96
01/11/2005,20.53,0.35,2,0,0,33.689,5.37
01/12/2005,20.53,0.35,2,0,0,33.686,5.39
01/10/2005,19.04,0.38,2,0,0,33.622,5.68
01/09/2005,14.75,0.56,4,0.03,0.2,33.582,5.81
01/08/2005,13.18,0.62,4.2,0.08,1.4,33.594,5.63
01/04/2005,12.09,1.39,14,0.13,14,33.627,3.86
01/05/2005,11.08,1.92,22.8,0.03,21,33.661,2.77
01/05/2005,10.6,2.09,27.6,0.02,23.2,33.698,2.52
01/06/2005,10.37,2.37,31.9,0.01,25.3,33.736,2.14
01/07/2005,20.38,0.42,2,0,0,33.684,5.33
04/30/2005,20.38,0.44,2,0,0,33.689,5.34
04/29/2005,18.95,0.45,2,0,0,33.668,5.77
04/27/2005,15.26,0.68,4,0.06,0.8,33.714,5.62
04/28/2005,11.89,1.82,18.3,0.24,18.6,33.74,3.05
04/26/2005,10.96,2.18,26.2,0.04,23.4,33.762,2.23
04/23/2005,10.69,2.38,30.2,0.02,25.3,33.787,1.93
04/24/2005,10.19,2.44,33.8,0.03,26.2,33.814,1.87
05/01/2005,9.75,2.74,41.3,0.01,28.5,33.877,1.28
04/22/2005,19.43,0.47,2,0,0,33.588,4.97
04/25/2005,19.44,0.47,2,0,0,33.583,5.27
04/21/2005,19.03,0.45,2,0,0,33.6,5.49
04/20/2005,17.24,0.44,2,0,0,33.676,5.59
04/19/2005,17.35,0.44,2,0,0,33.682,5.51
04/19/2005,16.11,0.48,2,0,0,33.698,5.21
04/15/2005,13.96,0.75,6.9,0.07,5.2,33.719,4.02
04/16/2005,11.81,1.45,18,0.04,16.8,33.743,3.03
04/17/2005,10.85,2,25,0.02,21.3,33.77,2.62
04/17/2005,10.19,2.42,36.8,0.08,26.8,33.836,1.66
04/18/2005,22,0.33,3,0.01,0,34.068,5.64
07/16/2005,17.9,0.65,5,0.17,0.2,33.911,4.96
07/15/2005,15.47,0.98,9,0.38,4.7,33.825,4.51
07/14/2005,14.62,2,19.5,0.1,18.1,34.114,2.11
07/13/2005,14.58,2.05,20,0.09,18.8,34.129,1.99
07/13/2005,21.71,0.37,8,0.01,0,33.968,5.4
07/12/2005,18.95,0.37,4.7,0.01,0,33.75,5.77
07/11/2005,17.21,0.41,2.7,0.01,0,33.576,5.85
07/10/2005,16.09,0.44,2,0.01,0,33.457,5.93
07/17/2005,15.94,0.44,2.1,0.01,0,33.477,5.92
07/08/2005,13.7,0.57,5.2,0.09,1.7,33.826,5.39
07/09/2005,12.46,1.62,17.7,0.05,14.2,34.116,3.29
07/07/2005,12.51,2,29.8,0.06,21.3,34.245,1.86
07/06/2005,12.5,2.19,35,0.06,22.9,34.252,1.53
07/05/2005,12.69,2.53,36.9,0.05,26.5,34.279,0.82
07/04/2005,12.5,2.88,38.5,0.04,28,34.321,0.36
07/01/2005,22.61,0.47,2,0,0,34.07,5.09
07/02/2005,22.38,0.51,2,0,0,33.927,5.15
07/03/2005,20.03,0.5,2,0,0,33.807,5.55
11/20/2005,17.62,0.49,2,0,0,33.71,5.92
11/19/2005,17.07,0.51,2,0,0,33.643,5.94
11/17/2005,16.43,0.54,2,0,0,33.697,5.9
11/18/2005,16.31,0.54,2,0,0,33.704,5.9
11/16/2005,13.71,1.06,9.7,0.05,8.4,33.871,4.73
11/15/2005,12.84,2.25,24,0.29,22.7,34.041,2.2
11/14/2005,12.31,3.02,34.6,0.01,29.9,34.208,1.32
11/21/2005,11.82,3.14,37.7,0,30.3,34.367,1.01
11/11/2005,11.55,3.22,39.5,0,29,34.649,0.19
11/12/2005,11.51,3.26,40,0,29.2,34.669,0.17
11/13/2005,22.22,0.42,3,0,0,33.839,5.12
11/10/2005,22.2,0.51,4,0,0,33.84,5.16
11/09/2005,21.9,0.52,4.1,0,0,33.827,5.25
11/08/2005,18.61,0.57,5.1,0,0,33.705,5.93
11/05/2005,15.11,0.62,6.1,0.02,0.2,33.623,6.15
11/04/2005,14.05,0.68,7,0.14,2.2,33.637,5.18
11/06/2005,13.15,0.85,9.6,0,4.8,33.651,4.36
11/07/2005,12.23,2.04,23.9,0,20.8,33.684,2.08
02/20/2006,12.02,2.51,30.4,0.03,25.9,33.718,1.29
02/19/2006,11.93,2.69,34.1,0.01,27.8,33.755,0.82
02/18/2006,11.08,2.76,36,0.01,27.6,33.793,0.96
02/16/2006,10.53,2.81,40.3,0.01,27,33.874,0.63
02/17/2006,20.75,0.4,1,0,0,33.801,5.31
02/15/2006,20.33,0.42,2,0,0,33.785,5.34
02/14/2006,19.6,0.41,1.6,0,0,33.871,5.46
